job_id,nhom_khuyet_tat,nghe,nganh,mo_ta_cong_viec,ky_nang,ho_tro,hinh_thuc_lam_viec,muc_luong,khu_vuc,muc_do_khuyet_tat,nguon_tham_khao
JOB_001,Khuyết tật vận động,Nhân viên nhập liệu (Data Entry),Văn phòng / CNTT,"Nhập, kiểm tra và xử lý dữ liệu trên máy tính","Tin học văn phòng, gõ phím nhanh, cẩn thận","Bàn làm việc phù hợp xe lăn, phần mềm hỗ trợ nếu cần",Tại nhà / Văn phòng,5 - 8,Toàn quốc (làm từ xa),Nhẹ - Vừa,vieclam24h.vn; joboko.com
JOB_002,Khuyết tật vận động,Lập trình viên / Phát triển phần mềm,Công nghệ thông tin,"Viết, kiểm thử, bảo trì phần mềm, ứng dụng, website","Ngôn ngữ lập trình, tư duy logic","Máy tính, bàn ghế công thái học, làm việc từ xa",Tại nhà / Văn phòng / Từ xa,8 - 25 (Fresher-Junior),"Các thành phố lớn (Hà Nội, TP.HCM, Đà Nẵng, Cần Thơ) (nhiều công ty cho remote toàn quốc)",Nhẹ - Vừa,careerlink.vn
JOB_003,Khuyết tật vận động,Kế toán / Kế toán viên,Tài chính - Kế toán,"Ghi chép, xử lý sổ sách, báo cáo tài chính doanh nghiệp","Nghiệp vụ kế toán, phần mềm kế toán","Bàn làm việc tiếp cận, lối đi cho xe lăn",Văn phòng / Từ xa,5.6 - 10,"Hà Nội, TP.HCM, Đà Nẵng",Nhẹ - Vừa,topcv.vn
JOB_004,Khuyết tật vận động,Chuyên viên tài chính / Phân tích tài chính,Tài chính - Ngân hàng,"Phân tích số liệu tài chính, lập báo cáo, tư vấn đầu tư","Kiến thức tài chính, Excel, phân tích số liệu","Không yêu cầu di chuyển nhiều, làm việc bàn giấy",Văn phòng,10 - 20,"Hà Nội, TP.HCM",Nhẹ,joboko.com
JOB_005,Khuyết tật vận động,Chuyên viên pháp lý / Tư vấn pháp luật,Pháp lý,"Soạn thảo văn bản, tư vấn pháp lý, nghiên cứu luật","Kiến thức pháp luật, kỹ năng viết","Bàn làm việc, tài liệu điện tử",Văn phòng,10 - 20,"Hà Nội, TP.HCM",Nhẹ,joboko.com
JOB_006,Khuyết tật vận động,Content writer / Copywriter,Truyền thông - Marketing,"Viết nội dung quảng cáo, bài viết web, mạng xã hội","Kỹ năng viết, sáng tạo nội dung","Máy tính cá nhân, làm việc từ xa",Tại nhà / Từ xa,7 - 14,Toàn quốc (làm từ xa),Nhẹ - Vừa - Nặng,1900.com.vn; topcv.vn
JOB_007,Khuyết tật vận động,Nhân viên chăm sóc khách hàng qua điện thoại/chat,Dịch vụ khách hàng,"Trả lời, tư vấn, hỗ trợ khách hàng qua điện thoại hoặc chat","Giao tiếp tốt, kiên nhẫn","Tai nghe, phần mềm tổng đài, làm việc từ xa",Tại nhà / Văn phòng,6 - 10,"Các thành phố lớn (Hà Nội, TP.HCM, Đà Nẵng, Cần Thơ)",Nhẹ - Vừa,jobsgo.vn
JOB_008,Khuyết tật vận động,Công nhân may / Vận hành dây chuyền may mặc,Sản xuất - May mặc,"Vận hành máy may, kiểm hàng trên dây chuyền sản xuất","Sự khéo léo đôi tay, tỉ mỉ","Ghế ngồi phù hợp, dây chuyền không cần di chuyển nhiều",Nhà máy / Xưởng sản xuất,5 - 8,"Các khu công nghiệp (Bình Dương, Đồng Nai, Bắc Ninh, Hà Nội)",Nhẹ,dantri.com.vn
JOB_009,Khuyết tật vận động,Nhân viên bán vé / Đặt vé máy bay,Hàng không - Du lịch,"Tư vấn, đặt và bán vé máy bay cho khách hàng","Tin học, giao tiếp, ngoại ngữ cơ bản","Làm việc tại chỗ với máy tính, không cần di chuyển",Văn phòng / Từ xa,6 - 10,"Hà Nội, TP.HCM, Đà Nẵng",Nhẹ - Vừa,dphanoi.org.vn
JOB_010,Khuyết tật vận động,Thu ngân / Nhân viên phục vụ quầy,Bán lẻ - Dịch vụ,"Thu ngân, hỗ trợ khách hàng tại quầy","Tính toán, giao tiếp cơ bản",Quầy thu ngân điều chỉnh độ cao phù hợp xe lăn,Cửa hàng / Sân bay / Trung tâm thương mại,5 - 7,"Các thành phố lớn (Hà Nội, TP.HCM, Đà Nẵng, Cần Thơ)",Nhẹ,vieclam24h.vn
